autor,status,cena_wywolawcza,cena_sprzedazy,tytul,rok_powstania,aukcja,wymiar_x,wymiar_y,wielkosc,techniki,material,rok_pow_new
Edward Dwurnik,zarchiwizowany,1000,1400,DOLNA ODRA, 2015,2016-04-19,45.0,26.7,1201.5,"gwasz, akwarela",papier,2015
Andrzej Domżalski ,zarchiwizowany,400,400,AKT MĘSKI, 2016,2016-04-19,100.0,70.0,7000.0,akryl,karton,2016
Stanisław Fijałkowski,zarchiwizowany,100,100,SHOP11. CDR,,2016-04-19,10.0,8.5,85.0,grafika komputerowa,papier,
Sergiusz  Grudkowski ,zarchiwizowany,500,700,MARCOWY ŚNIEG, 1996,2016-04-19,36.5,48.2,1759.3000000000002,akwarela,karton,1996
Zdzisław Otello Horodecki,zarchiwizowany,500,500,LUDOWY ŚNIEG, 2005,2016-04-19,50.0,58.0,2900.0,tempera,karton,2005
Grzegorz Sztwiertnia,zarchiwizowany,700,700,PRAKTYKA WIDZENIA, 2008,2016-04-19,60.0,60.0,3600.0,pigment print,papier,2008
Wojciech Ćwiertniewicz ,zarchiwizowany,300,300,BEZ TYTUŁU, 2012,2016-04-19,19.6,19.6,384.1600000000001,"olej, akryl",płótno,2012
Tadeusz Brzozowski,zarchiwizowany,1500,1500,PROJEKT KOSTIUMU DO DZIADÓW, 1960,2016-04-19,29.5,21.0,619.5,"tusz, akwarela",papier,1960
Andrzej Dłużniewski,zarchiwizowany,300,500,GÓRA 12-TA, 1988,2016-04-19,60.0,64.0,3840.0,atrament,papier,1988
Jacek Barszcz,zarchiwizowany,700,700,SMUGA ŚWIATŁA, 2012,2016-04-19,33.0,46.0,1518.0,olej,płótno,2012
Waldemar  Andrzejewski ,zarchiwizowany,500,0,ZEBRA, 1985,2016-04-19,28.0,38.0,1064.0,"tusz pióro, pędzel, tempera",karton,1985
Zdzisław Beksiński,zarchiwizowany,300,1900,BEZ TYTUŁU,,2016-04-19,30.6,15.5,474.3,,grafika komputerowa,
Jan Balcerzak,dostępny w Galerii,1500,0,IMPRESJE NORWESKIE, 2000,2016-04-19,44.0,31.5,1386.0,pastel,papier,2000
Jan Berdyszak,zarchiwizowany,1000,1100,PASSE-PAR-TOUT, 1998,2016-04-19,39.5,30.0,1185.0,,technika własna,1998
Maja (Maria) Berezowska,zarchiwizowany,900,1100,PARA PRZY TOALETCE, 1957,2016-04-19,38.5,29.0,1116.5,gwasz biały,papier czarny,1957
Waldemar  Andrzejewski ,zarchiwizowany,500,0,ZEBRY, 1985,2016-04-19,28.0,38.0,1064.0,"tusz pióro, pędzel, tempera",karton,1985
Marian Paweł Bocianowski,zarchiwizowany,100,800,ULICA KROKODYLI - TAM GDZIE PTASIA ATLANTYDA,,2016-04-19,39.0,23.2,904.8,akwaforta barwna,papier,
Tadeusz Brzozowski,zarchiwizowany,1500,1500,PROJEKT KOSTIUMU SENATORA, 1960,2016-04-19,29.5,21.0,619.5,"tusz pióro, pędzel, akwarela",papier,1960
Jan Tarasin,zarchiwizowany,500,600,GRY I ZABAWY, 1976 (1989),2016-04-19,38.0,54.0,2052.0,serigrafia jednobarwna,papier,1976
Leon Tarasewicz,zarchiwizowany,17000,18000,FRAGMENT INSTALACJI MALARSKIEJ 2000,,2016-04-17,50.0,50.0,2500.0,technika mieszana,płyta pilśniowa,
Stasys Eidrigevičius,zarchiwizowany,5000,7000,DOROSŁE DZIECKO, OK. 1995,2016-04-17,53.0,72.7,3853.1000000000004,pastel,papier,1995
Stanisław Baj,zarchiwizowany,7000,7500,RZEKA BUG, OK. 2000,2016-04-17,100.0,120.0,12000.0,olej,płótno,2000
Elżbieta Arend-Sobocka,zarchiwizowany,2800,2900,SPACER, 1991,2016-04-17,89.5,116.0,10382.0,olej,płótno,1991
Tadeusz Boruta,zarchiwizowany,7000,7500,ROZMOWA, 1997,2016-04-17,1.0,1.0,1.0,olej,płótno,1997
Jacek Sienicki,zarchiwizowany,15000,0,OCHŁAP, 1995,2016-04-17,81.0,66.0,5346.0,olej,płótno,1995
Jan Szancenbach,zarchiwizowany,12000,22000,STATEK POŻARNICZY W GOETEBORGU, 1996,2016-04-17,85.5,95.0,8122.5,olej,płótno,1996
Andrzej Szewczyk,zarchiwizowany,5000,13000,ŚWIADEK, 1989,2016-04-17,41.0,28.5,1168.5,"drewno dębowe, ołów",grafit,1989
Kiejstut Bereźnicki,zarchiwizowany,6000,13000,PORTRET ARTYSTY, 1987,2016-04-17,93.0,65.5,6091.5,olej,płótno,1987
Franciszek Starowieyski,zarchiwizowany,18000,28000,CZARNOBYLSCY JEŹDŹCY, 1990,2016-04-17,146.5,116.5,17067.25,olej,płótno,1990
Aldona Mickiewicz,zarchiwizowany,15000,20000,OBNAŻONA, 1990,2016-04-17,120.0,145.0,17400.0,olej,płótno,1990
Zdzisław Beksiński,zarchiwizowany,6000,8500,BEZ TYTUŁU, 1990,2016-04-17,29.0,20.5,594.5,długopis,papier,1990
Jerzy Nowosielski,zarchiwizowany,48000,0,GIMNASTYCZKI, POŁOWA LAT 50. XX W.,2016-04-17,40.0,25.0,1000.0,tempera,deska,50
Kiejstut Bereźnicki,zarchiwizowany,14000,0,SCENA POSTACI I RYBY, 2005,2016-04-17,116.5,89.0,10368.5,olej,płótno,2005
Igor Mitoraj,zarchiwizowany,20000,42000,HELIOS, 1988,2016-04-17,1.0,1.0,1.0,brąz patynowany,kamień,1988
Jerzy Duda Gracz,zarchiwizowany,25000,46000,"NADRZECZE - WIOSENKA, OBRAZ 2513", 2000,2016-04-17,48.0,41.0,1968.0,olej,płyta pilśniowa,2000
Jacek Yerka,zarchiwizowany,6000,7500,TRZECI DZIEŃ STWORZENIA, 2015,2016-04-17,46.8,56.8,2658.24,pastel,papier,2015
Jerzy Duda Gracz,zarchiwizowany,22000,40000,IDYLLA, 1973,2016-04-17,40.0,40.0,1600.0,olej,płótno,1973
Jacek Yerka,zarchiwizowany,18000,18000,PETROS, 1977,2016-04-17,90.0,80.0,7200.0,"olej, akryl",płótno,1977
Edward Dwurnik,zarchiwizowany,15000,0,PRZEMYŚL, 2007,2016-04-17,100.0,73.0,7300.0,olej,płótno,2007
Jonasz Stern,zarchiwizowany,21000,32000,KOMPOZYCJA, 1974,2016-04-17,38.5,55.0,2117.5,collage,płótno,1974
Edward Dwurnik,zarchiwizowany,5000,15000,CZERWONE TULIPANY, 2014,2016-04-17,81.0,65.0,5265.0,olej,płótno,2014
Edward Dwurnik,zarchiwizowany,35000,0,ŚLUB, 1973,2016-04-17,114.0,147.0,16758.0,"akryl, olej",płótno,1973
Rajmund Ziemski,zarchiwizowany,26000,26000,PEJZAŻ 13/72, 1972,2016-04-17,163.5,110.5,18066.75,olej,płótno,1972
Włodzimierz Jan Zakrzewski,zarchiwizowany,16000,21000,FALA, 1974,2016-04-17,97.0,146.0,14162.0,olej,płótno,1974
Edward Dwurnik,zarchiwizowany,26000,27000,SOPOT, 1989,2016-04-17,95.0,95.0,9025.0,olej,płótno,1989
Rajmund Ziemski,zarchiwizowany,40000,0,PEJZAŻ 50/62, 1962,2016-04-17,125.5,44.5,5584.75,olej,płótno,1962
Alfred Lenica,zarchiwizowany,25000,45000,ŻYCIE WIEJSKIE, 1964,2016-04-17,54.3,66.8,3627.24,olej,płótno,1964
Alfred Lenica,zarchiwizowany,18000,0,RÓŻA CZERWONA, 1975,2016-04-17,46.5,38.5,1790.25,olej,płótno,1975
Janina Kraupe,zarchiwizowany,25000,0,AURA, 1967,2016-04-17,188.0,76.0,14288.0,tempera,płótno,1967
Janina Kraupe,zarchiwizowany,8000,0,BURZA, 1961,2016-04-17,73.0,100.5,7336.5,tempera,płótno,1961
Jan Tarasin,zarchiwizowany,60000,122000,KATALOG REALNOŚCI, 1997,2016-04-17,92.0,65.0,5980.0,olej,płótno,1997
Tadeusz Brzozowski,zarchiwizowany,16000,16000,GEHEIMRAT, 1959,2016-04-17,41.0,17.0,697.0,olej,płótno,1959
Jan Berdyszak,zarchiwizowany,5000,0,CZERŃ I ŚWIATŁO I, 1960,2016-04-17,46.0,62.0,2852.0,gipsoryt,papier,1960
Adam Marczyński,zarchiwizowany,28000,32000,SPOTKANIE - INCONTRO, 1957,2016-04-17,65.0,90.0,5850.0,olej,płótno,1957
Stanisław Fijałkowski,zarchiwizowany,59000,72000,EPITAFIUM DLA POWSTAŃCÓW (1 SIERPNIA 1981), 1981,2016-04-17,100.0,81.0,8100.0,olej,płótno,1981
Alfons Mazurkiewicz,zarchiwizowany,10000,0,KOEGZYSTENCJA, 1974,2016-04-17,60.0,135.0,8100.0,olej,płótno,1974
Alfons Mazurkiewicz,zarchiwizowany,10000,15000,ŻONGLER, 1960,2016-04-17,110.0,75.0,8250.0,olej,płótno,1960
Zdzisław Beksiński,zarchiwizowany,9000,13000,BEZ TYTUŁU, 1965,2016-04-17,29.0,18.7,542.3,długopis,papier,1965
Jan Lebenstein,zarchiwizowany,50000,0,OKNO (KOBIETA W OKNIE), 1956/57,2016-04-17,102.0,63.5,6477.0,olej,płótno,1956
Jerzy Nowosielski,zarchiwizowany,100000,182000,KOBIETY W CIEMNI (MAŁE), 1971,2016-04-17,53.5,40.0,2140.0,tempera,deska,1971
Jan Lebenstein,zarchiwizowany,4500,4500,CRÉATURES, 1965,2016-04-17,26.0,33.7,876.2,"akwarela, kredka, atrament",papier,1965
Jan Lebenstein,zarchiwizowany,12000,14000,APOLLO I MARSJASZ, 1965,2016-04-17,43.5,31.0,1348.5,"akwarela, tusz, pióro",papier,1965
Jerzy Nowosielski,zarchiwizowany,120000,122000,AKT KOBIETY, 1960,2016-04-17,72.5,59.5,4313.75,olej,płótno,1960
Jacek Pałucha,zarchiwizowany,3000,4500,PIKNIK POD GRUSZĄ, 2011,2016-04-17,81.0,65.0,5265.0,akryl,płótno,2011
Jerzy Nowosielski,zarchiwizowany,50000,65000,BRUNETKA, 1963,2016-04-17,46.2,34.8,1607.76,olej,dykta,1963
 The Krasnals ,dostępny w Galerii,6000,0,"PAWEŁ KUKIZ, Z CYKLU CASTING NA PREZYDENTA", 2015,2016-04-17,40.0,40.0,1600.0,olej,płótno,2015
Alfred  Aberdam,zarchiwizowany,21000,0,KAWIARNIA PARYSKA, 1938,2016-04-17,39.0,50.0,1950.0,olej,płótno,1938
Zdzisław Salaburski,zarchiwizowany,5000,5000,KOMPOZYCJA, 1974,2016-04-17,89.5,132.0,11814.0,olej,płótno,1974
Judyta (Jehudith) Sobel,zarchiwizowany,12000,13000,KOMPOZYCJA JASNOZIELONA, PO 1950,2016-04-17,60.0,75.0,4500.0,olej,płótno,1950
Janina Wierusz Kowalska,zarchiwizowany,9000,0,MUSZLE, 2015,2016-04-17,205.0,125.0,25625.0,akryl,płótno,2015
Maria  Jarema,zarchiwizowany,2500,11000,WNĘTRZE KAWIARNI, LATA 40. XX W.,2016-04-17,15.3,19.0,290.7,"gwasz, akwarela",papier,40
Wojciech Kała,zarchiwizowany,5000,15000,PAW, 2007,2016-04-17,1.0,1.0,1.0,brąz patynowany,kamień,2007
Wojciech Kała,zarchiwizowany,5000,5000,OGRODY TESALII,,2016-04-17,1.0,1.0,1.0,,brąz patynowany,
Marian Czapla,zarchiwizowany,8000,8000,NAFCIARZE (NIEBIESKI), 2005,2016-04-17,90.0,70.0,6300.0,olej,płótno,2005
Marian Czapla,zarchiwizowany,8000,0,NAFCIARZE (CZERWONY), 2005,2016-04-17,90.0,70.0,6300.0,olej,płótno,2005
Jan Dobkowski,zarchiwizowany,7000,0,KARNAWAŁ W RIO XXXIX, 2007,2016-04-17,81.0,60.0,4860.0,akryl,płótno,2007
Jan Dobkowski,zarchiwizowany,16000,0,CIĄGŁOŚĆ ENERGII III, 2008,2016-04-17,100.0,130.0,13000.0,akryl,płótno,2008
Norman Leto,zarchiwizowany,5000,8500,NIEZNAJOMOŚĆ ROŚLIN: KROKUS, 2001,2016-04-17,70.0,70.0,4900.0,olej,płótno,2001
Michał Chudzicki,zarchiwizowany,3000,5500,WYŚCIG II, 2011,2016-04-17,100.0,120.0,12000.0,olej,płótno,2011
Władysław Jackiewicz,zarchiwizowany,14000,0,OBRAZ XII, 1995,2016-04-17,122.0,151.5,18483.0,olej,płótno,1995
Zdzisław Czermański,zarchiwizowany,1000,1000,JÓZEF PIŁSUDSKI W 13 PLANSZACH, 1935,2016-03-23,48.0,32.0,1536.0,,teka wydawnicza,1935
-,zarchiwizowany,300,0,ORBIS TERRARUM &#8211; JAPAN, 1930,2016-03-23,31.0,25.0,775.0,,książka,1930
Jan Chryzostom Pasek,zarchiwizowany,800,800,PAMIĘTNIKI, 1926,2016-03-23,36.0,27.0,972.0,,książka,1926
Eliasz Kanarek,zarchiwizowany,500,1200,MAPA LASÓW POLSKICH, 1938,2016-03-23,34.0,44.0,1496.0,,mapa,1938
-,zarchiwizowany,2000,0,DZIEJE POWSZECHNE ILUSTROWANE,,2016-03-23,26.0,18.0,468.0,,książka,
-,zarchiwizowany,1000,1300,ŻYCIE ZWIERZĄT, 1912,2016-03-23,25.0,18.0,450.0,,książka,1912
Feliks  Topolski ,zarchiwizowany,800,0,TOPOLSKI CHRONICLE, 1958,2016-03-23,51.0,32.0,1632.0,,teka wydawnicza,1958
Mieczysław Treter,zarchiwizowany,2000,2500,MATEJKO, 1939,2016-03-23,32.0,24.0,768.0,,książka,1939
Elwiro Andriolli,zarchiwizowany,1000,1100,BOHATERKI POEZYI POLSKIEJ, 1880,2016-03-23,37.0,28.0,1036.0,,książka,1880
Zygmunt Batowski,zarchiwizowany,500,600,NORBLIN, 1911,2016-03-23,25.0,18.0,450.0,,książka,1911
Wojciech Kossak,zarchiwizowany,1000,1200,WSPOMNIENIA,,2016-03-23,26.0,19.0,494.0,,książka,
Władysław Reymont,zarchiwizowany,1500,1800,CHŁOPI, 1928,2016-03-23,30.0,23.0,690.0,,książka,1928
Edmund Ludwik Bartłomiejczyk,zarchiwizowany,1000,0,HUCUŁ Z JAWOROWA, 1935,2016-03-23,25.0,25.0,625.0,drzeworyt barwny,papier kremowy,1935
Feliks  Topolski ,zarchiwizowany,1000,0,TOPOLSKI CHRONICLE, 1959,2016-03-23,51.0,32.0,1632.0,,teka wydawnicza,1959
Stanisław Witkiewicz,zarchiwizowany,1500,1600,JULIUSZ KOSSAK, 1912,2016-03-23,35.0,28.0,980.0,,książka,1912
Pierre Blanchard,zarchiwizowany,300,0,LE PLUTARQUE DE LA JEUNESSE, 1857,2016-03-23,26.0,17.0,442.0,,książka,1857
-,zarchiwizowany,300,0,ORBIS TERRARUM &#8211; GRIECHENLAND, 1930,2016-03-23,31.0,25.0,775.0,,książka,1930
-,zarchiwizowany,300,300,ORBIS TERRARUM &#8211; AFRIKA, 1930,2016-03-23,31.0,25.0,775.0,,książka,1930
Henryk Piątkowski,zarchiwizowany,1500,1700,ANDRIOLLI, 1904,2016-03-23,36.0,28.0,1008.0,,książka,1904
-,zarchiwizowany,300,0,ORBIS TERRARUM &#8211; SUDAMERIKA, 1931,2016-03-23,31.0,25.0,775.0,,książka,1931
-,zarchiwizowany,300,300,ORBIS TERRARUM &#8211; AGYPTEN, 1929,2016-03-23,31.0,25.0,775.0,,książka,1929
Józef Pieniążek,zarchiwizowany,1000,1200,PODHALE W OBRAZACH, 1937,2016-03-23,42.0,33.0,1386.0,,teka wydawnicza,1937
-,zarchiwizowany,500,1100,SZTUKA POLSKA. MALARSTWO, 1905,2016-03-23,40.0,30.0,1200.0,,książka,1905
Artur Oppman,zarchiwizowany,7000,9200,PIEŚŃ O RYNKU I ZAUŁKACH, 1931,2016-03-23,31.0,25.0,775.0,,książka,1931
-,zarchiwizowany,500,700,ALBUM SIENKIEWICZA, 1898,2016-03-23,33.0,25.0,825.0,,książka,1898
-,zarchiwizowany,1500,1500,HEROLDYA KRÓLESTWA POLSKIEGO - PATENT Z 1852,,2016-03-23,35.5,39.0,1384.5,,dokument,
Maryan Jastrzębiec,zarchiwizowany,500,500,W OBRONIE CZCI JASNOGÓRY, 1911,2016-03-23,26.0,20.0,520.0,,książka,1911
-,zarchiwizowany,1500,1500,TEKA ZBIOROWA, 1933,2016-03-23,40.0,30.0,1200.0,,teka wydawnicza,1933
Piotr Stachiewicz,zarchiwizowany,500,700,KRÓLOWA NIEBIOS, 1895,2016-03-23,32.0,25.0,800.0,,książka,1895
Józef Ignacy Kraszewski,zarchiwizowany,500,1300,GRZECHY HETMAŃSKIE, 1879,2016-03-23,29.0,20.0,580.0,,książka,1879
-,zarchiwizowany,2000,2200,WAWEL, 1893,2016-03-23,46.0,33.0,1518.0,,teka wydawnicza,1893
Adam Bernard Mickiewicz,zarchiwizowany,2500,2500,CONRAD WALLENROD, 1866,2016-03-23,36.0,28.0,1008.0,,książka,1866
Stanisław  Raczyński ,zarchiwizowany,500,500,ZABYTKI POLSKICH MIAST,,2016-03-23,36.0,31.0,1116.0,,teka wydawnicza,
-,zarchiwizowany,800,900,POLSKA NA MORZU, 1935,2016-03-23,32.0,25.0,800.0,,książka,1935
Paul Gustave Doré,zarchiwizowany,2000,2300,PISMO ŚWIĘTE STAREGO I NOWEGO TESTAMENTU, 1873,2016-03-23,42.0,33.0,1386.0,,książka,1873
Adam Bernard Mickiewicz,zarchiwizowany,500,900,KONRAD WALLENROD, 1890,2016-03-23,24.0,16.0,384.0,,książka,1890
Hartmann Schedel,zarchiwizowany,2800,3100,BRESSLAW, NORYMBERGA 1493,2016-03-23,24.0,53.0,1272.0,drzeworyt,papier,1493
C.H. Schubert,zarchiwizowany,1000,1400,HISTORJA NATURALNA PTAKÓW, 1900,2016-03-23,33.0,23.0,759.0,,książka,1900
Julian Baczyński,zarchiwizowany,1000,1900,DZIEJE POLSKI ILUSTROWANE, 1910,2016-03-23,27.0,21.0,567.0,,książka,1910
Jan Matejko,zarchiwizowany,500,2700,ALBUM 15 OBRAZÓW, 1893,2016-03-23,51.0,36.0,1836.0,,teka wydawnicza,1893
Artur Grottger,zarchiwizowany,400,500,WARSZAWA II,,2016-03-23,32.0,26.0,832.0,,teka wydawnicza,
Paul Gustave Doré,zarchiwizowany,500,500,DORE GALLERY, 1890,2016-03-23,33.0,25.0,825.0,,książka,1890
Włodzimierz Terlikowski,zarchiwizowany,10000,0,ANEMONY, 1933,2016-03-20,61.5,46.5,2859.75,olej,płótno,1933
Jacek Malczewski,zarchiwizowany,400000,750000,AUTOPORTRET, 1908,2016-03-20,88.0,65.0,5720.0,olej,tektura,1908
C. Timmann - Delfow,zarchiwizowany,6000,14000,ADORACJA KRZYŻA,,2016-03-20,79.0,47.4,3744.6,olej,deska,
Wojciech Weiss,zarchiwizowany,55000,0,AKT ZŁOTO-BŁĘKITNY, OK. 1935,2016-03-20,82.0,65.0,5330.0,olej,płótno,1935
Leon Wyczółkowski,zarchiwizowany,4000,13000,AUTOPORTRET, 1926,2016-03-20,37.5,48.8,1830.0,autolitografia,papier,1926
Włodzimierz Terlikowski,zarchiwizowany,6000,9000,ZAMEK NAD WODĄ,,2016-03-20,33.0,48.0,1584.0,olej,płótno,
Tadeusz Styka,zarchiwizowany,20000,36000,W KĄPIELI,,2016-03-20,46.0,37.8,1738.8,olej,tektura,
Teodor Axentowicz,zarchiwizowany,18000,34000,POWRÓT Z CERKWI NA HUCULSZCZYŹNIE, OK. 1910,2016-03-20,40.5,50.5,2045.25,olej,płótno,1910
Juliusz Kossak,zarchiwizowany,30000,42000,KMICIC Z OLEŃKĄ NA KULIGU, OK. 1885-1887,2016-03-20,37.0,54.5,2016.5,akwarela,papier,1885
Marcel Johann von Zadorecki ,zarchiwizowany,6000,10000,DZIEWCZYNA Z RÓŻĄ, 1868,2016-03-20,78.8,63.0,4964.4,olej,płótno,1868
Zofia Stryjeńska,zarchiwizowany,10000,26000,MAGIE SLAVE, 1934,2016-03-20,50.0,45.0,2250.0,druk,papier,1934
Włodzimierz Terlikowski,zarchiwizowany,15000,23000,PEJZAŻ NADMORSKI, 1923,2016-03-20,64.5,91.5,5901.75,olej,płótno,1923
Jan Cybis,zarchiwizowany,25000,27000,KRAJOBRAZ WIOSENNY Z KRZEMIEŃCA, 1943,2016-03-20,35.0,49.0,1715.0,olej,płótno,1943
Michał Gorstkin Wywiórski,zarchiwizowany,4000,4900,PEJZAŻ ZE STRUMIENIEM, 1900-1915,2016-03-20,26.8,18.7,501.15999999999997,olej,płótno naklejone na tekturę,1900
Jan  Talaga ,zarchiwizowany,5000,0,KOŚCIÓŁ ŚW. PAWŁA APOSTOŁA W SANDOMIERZU, 1911,2016-03-20,28.8,31.4,904.3199999999999,olej,tektura,1911
Piotr Michałowski,zarchiwizowany,10000,0,JEŹDZIEC,,2016-03-20,47.0,31.0,1457.0,"akwarela, ołówek",papier żeberkowy,
Julian Fałat,zarchiwizowany,35000,42000,RZEKA WŚRÓD ŚNIEGÓW, OK. 1910,2016-03-20,25.3,48.8,1234.6399999999999,gwasz,tektura,1910
Stanisław Ignacy Witkiewicz,zarchiwizowany,39000,100000,PORTRET STEFANA GLASSA, 1 X 1930,2016-03-20,64.5,48.5,3128.25,pastel,papier,1
Alfred Wierusz-Kowalski,zarchiwizowany,100000,114000,SANIAMI PRZEZ STEP, OK. 1880,2016-03-20,31.8,55.0,1749.0,olej,deska,1880
Leon Wyczółkowski,zarchiwizowany,60000,110000,BUKIET MIECZYKÓW. GLADIOLE, 1909,2016-03-20,85.5,61.5,5258.25,pastel,karton,1909
Paweł Merwart,zarchiwizowany,16000,16000,IMPROWIZACJA. PIANISTKA, 1889,2016-03-20,61.0,49.5,3019.5,olej,deska,1889
Władysław Chmieliński (Stachowicz),zarchiwizowany,5000,8500,PAŁAC STASZICA I SCHODY KOŚCIOŁA ŚW. KRZYŻA,,2016-03-20,24.5,34.5,845.25,olej,tektura,
Zdzisław Czermański,zarchiwizowany,2000,2000,DOLAR PARTY,,2016-03-20,73.3,57.8,4236.74,akwarela,ołówek,
Vlastimil Hofman,zarchiwizowany,25000,38000,DZIEWCZYNA W PEJZAŻU ZE ŚW. SEBASTIANEM, 1914,2016-03-20,33.0,25.0,825.0,olej,tektura,1914
Adam Wiktor Malinowski,zarchiwizowany,10000,0,PEJZAŻ Z RUINAMI, 1853,2016-03-20,44.0,57.0,2508.0,olej,płótno,1853
Roman Kochanowski,zarchiwizowany,9000,18000,ZAGRODA, OK. 1910,2016-03-20,16.5,24.7,407.55,olej,deska,1910
Czesław (I. Zygmuntowicz) Wasilewski,zarchiwizowany,5000,7500,ULICZKA W MIASTECZKU,,2016-03-20,52.0,60.5,3146.0,olej,tektura,
Stanisław Żukowski,zarchiwizowany,40000,62000,PRZEDWIOŚNIE, OK. 1930,2016-03-20,66.0,84.0,5544.0,olej,płótno,1930
Józef Mehoffer,zarchiwizowany,55000,114000,W ORANŻERII, OK. 1900,2016-03-20,26.5,34.0,901.0,olej,deska,1900
Leon Wyczółkowski,zarchiwizowany,35000,35000,KWIATY, 1914,2016-03-20,54.8,74.4,4077.12,"akwarela, ołówek",papier,1914
Wincenty Łukasz Mrzygłód ,zarchiwizowany,10000,15000,DZIEWCZYNA Z NARĘCZEM RÓŻ, 1949,2016-03-20,102.0,68.0,6936.0,olej,płótno,1949
Jerzy Kossak,zarchiwizowany,16000,33000,WIZJA NAPOLEONA W ODWROCIE SPOD MOSKWY, 1940,2016-03-20,48.5,59.0,2861.5,olej,tektura,1940
Feliks Michał Wygrzywalski,zarchiwizowany,7000,27000,PARTIA KART, 1905,2016-03-20,28.0,44.5,1246.0,olej,deska,1905
Wojciech Kossak,zarchiwizowany,28000,31000,Z POLA BITWY O OLSZYNKĘ GROCHOWSKĄ, 1907,2016-03-20,46.5,33.0,1534.5,olej,tektura,1907
Alfons Karpiński,zarchiwizowany,5000,8500,RÓŻE ŻÓŁTE,,2016-03-20,35.0,49.0,1715.0,olej,tektura,
Henryk Epstein,zarchiwizowany,18000,20000,W PORCIE. NA PORTOWYM NABRZEŻU, 1930,2016-03-20,33.3,40.5,1348.6499999999999,olej,płótno,1930
Eugeniusz Eibisch,zarchiwizowany,12000,0,PEJZAŻ Z PROWANSJI, 1932-1937,2016-03-20,45.5,48.0,2184.0,olej,płótno,1932
Zygmunt Szreter,zarchiwizowany,7000,0,PEJZAŻ Z POŁUDNIA FRANCJI,,2016-03-20,54.0,81.0,4374.0,olej,płótno,
Eugeniusz Zak,zarchiwizowany,3500,3600,MALARKI PRZY SZTALUGACH W PRACOWNI,,2016-03-20,21.0,16.5,346.5,ołówek,papier,
Zygmunt Menkes,zarchiwizowany,45000,55000,MAKI, OK. 1950,2016-03-20,66.5,51.5,3424.75,olej,płótno,1950
Wiktor Korecki,zarchiwizowany,9000,9500,KRAJOBRAZ ZIMOWY,,2016-03-20,69.5,100.0,6950.0,olej,płótno,
Konstanty Mackiewicz,zarchiwizowany,5000,5000,ZIMOWY LAS, PO 1960,2016-03-20,45.0,38.0,1710.0,olej,płyta,1960
Włodzimierz Błocki,zarchiwizowany,7000,9000,KOROWÓD POSTACI. MASKARADA,,2016-03-20,77.4,66.3,5131.62,"akwarela, tusz",papier,
Artur Markowicz,zarchiwizowany,12000,0,PORTRET DAMY WE WNĘTRZU, 1910,2016-03-20,62.0,47.5,2945.0,pastel,papier żeberkowy,1910
Jerzy Kossak,zarchiwizowany,20000,45000,POLOWANIE PAR FORCE, 1927,2016-03-20,45.0,99.5,4477.5,olej,płótno,1927
Roman Kochanowski,zarchiwizowany,18000,18000,PEJZAŻ O ZMIERZCHU, 1893,2016-03-20,12.7,21.8,276.86,olej,deska,1893
Jan Cybis,zarchiwizowany,25000,40000,KRAJOBRAZ ZIMOWY Z KRZEMIEŃCA, 1939-1940,2016-03-20,36.0,49.0,1764.0,olej,tektura,1939
Wacław Borowski,zarchiwizowany,35000,35000,DIANA I AKTEON,1920,2016-03-20,49.0,63.5,3111.5,"pastel, gwasz",karton,1920
Stefan Filipkiewicz,zarchiwizowany,8000,10000,PORANEK W ROZEWIU, 1935,2016-03-20,65.5,90.3,5914.65,olej,płótno,1935
Franciszek Streitt,zarchiwizowany,8000,15000,ZALOTY,,2016-03-20,26.2,20.0,524.0,olej,deska,
Jan  Wojnarski,zarchiwizowany,2000,0,PANORAMA TATR Z ZAKOPANEGO,,2016-03-20,13.0,18.0,234.0,olej,tektura,
Władysław Chmieliński (Stachowicz),zarchiwizowany,8000,12000,WNĘTRZE PAŁACOWE,,2016-03-20,50.3,35.0,1760.5,olej,płótno,
Władysław Jarocki,zarchiwizowany,18000,0,GÓRALKA Z PORONINA, OK. 1930,2016-03-20,90.5,68.0,6154.0,olej,płótno,1930
Adam Setkowicz,zarchiwizowany,3000,7000,KOZAK NA CZATACH. KOZAK W STEPIE,,2016-03-20,22.5,31.3,704.25,olej,tektura,
Józef Brandt,zarchiwizowany,450000,0,POWRÓT ZWYCIĘZCÓW. PO ZWYCIĘSTWIE. 1893,,2016-03-20,60.5,121.5,7350.75,olej,płótno,
Juan  Aldaz y Sancho,zarchiwizowany,4000,10000,SORTOWANIE POMARAŃCZY, PO 1884,2016-03-20,38.5,19.0,731.5,olej,deska,1884
Henryk Hayden,zarchiwizowany,25000,0,PEJZAŻ POŁUDNIOWY. W PORCIE, 1929,2016-03-20,46.5,61.0,2836.5,olej,płótno,1929
Eugeniusz Zak,zarchiwizowany,35000,35000,GŁOWA DZIEWCZYNY Z DŁUGIMI WŁOSAMI, OK. 1923,2016-03-20,30.5,23.5,716.75,"gwasz, technika mieszana",papier,1923
Lajos  Markos ,zarchiwizowany,5000,9500,KAPELA ULICZNA, PRZED 1939,2016-03-20,91.5,71.0,6496.5,olej,płótno,1939
Jan Szancenbach,zarchiwizowany,12000,25000,AZALIE, 1998,2016-03-20,85.5,105.0,8977.5,olej,płótno,1998
