autor,status,cena_wywolawcza,cena_sprzedazy,tytul,rok_powstania,aukcja,wymiar_x,wymiar_y,wielkosc,techniki,material,rok_pow_new
Franciszek Maśluszczak,zarchiwizowany,6000,6000,DROGA, 1989,2019-10-15,65.0,50.0,3250.0,akryl,płótno,1989
Grzegorz W.  Komorowski,zarchiwizowany,600,0,11 XI 2001,,2019-10-15,41.0,28.5,1168.5,ołówek,papier kremowy,
Wojciech Ćwiertniewicz ,zarchiwizowany,800,0,BEZ TYTUŁU (94), 1991,2019-10-15,35.0,35.0,1225.0,akryl,płótno,1991
Zdzisław Otello Horodecki,zarchiwizowany,2000,0,OSTATNIA WIECZERZA MALARZY, 2004 (DYPTYK),2019-10-15,55.0,46.0,2530.0,akryl,płótno,2004
Edward Dwurnik,zarchiwizowany,4800,0,PALEC W RĘKU I, 1971,2019-10-15,50.0,35.0,1750.0,"linoryt, flamastry barwne",papier kredowy,1971
Jolanta Czacharowska,zarchiwizowany,700,0,POŻERACZ GWIAZD,,2019-10-15,35.2,25.0,880.0000000000001,pastel,papier,
Stefan  Arczyński ,zarchiwizowany,800,0,SZANGHAJ, 1959,2019-10-15,39.7,29.6,1175.1200000000001,fotografia czarno-biała,papier,1959
Grażyna Bartnik,zarchiwizowany,500,0,ABSTRAKCJA GEOMETRYCZNA, 2019,2019-10-15,40.0,40.0,1600.0,technika własna,płyta pilśniowa,2019
Jan Lebenstein,zarchiwizowany,1200,0,TRZY KOBIETY PRZY STOLE,,2019-10-15,49.0,32.0,1568.0,litografia barwna,papier,
Paweł Althamer,zarchiwizowany,3000,0,LALKA - PAN W PŁASZCZU, LATA 90. XX W.,2019-10-15,30.0,9.0,270.0,technika własna,tkanina,90
Jan Lenica,zarchiwizowany,800,0,LULU,,2019-10-15,65.0,48.0,3120.0,serigrafia barwna,papier,
Jan Lebenstein,zarchiwizowany,5000,0,SCENA FANTASTYCZNA, 1966,2019-10-15,30.5,43.5,1326.75,"długopis, tusze barwne, pióro, akwarela",papier,1966
Jacek Yerka,zarchiwizowany,35000,72000,MIĘDZY NIEBEM I PIEKŁEM, 1989,2019-10-06,76.0,60.0,4560.0,akryl,płótno,1989
Tadeusz Kantor,zarchiwizowany,5000,0,LUDZIE WYJEDZENI PRZEZ PIASEK, 1967,2019-10-06,20.0,26.0,520.0,"tusz, pastel, gwasz",papier naklejony na tekturę,1967
Władysław Jackiewicz,zarchiwizowany,12000,0,OBRAZ VI/99, 1999,2019-10-06,129.0,114.0,14706.0,"olej, kredka",płótno,1999
Józef Czapski,zarchiwizowany,2000,4000,SIEDZĄCE KOBIETY (SZKIC DO OBRAZU), 1955,2019-10-06,20.0,14.0,280.0,"ołówek, akwarela",papier,1955
Zygmunt Waliszewski,dostępny w Galerii,8000,0,BULWAR BRUNE W PARYŻU, 1929,2019-10-06,34.8,51.0,1774.8,"akwarela, ołówek",papier,1929
Jerzy Duda Gracz,zarchiwizowany,25000,41000,OBRAZ 1294, 1989,2019-10-06,50.0,50.0,2500.0,olej,płyta pilśniowa,1989
Jan Lebenstein,zarchiwizowany,14000,0,HARFISTKA, 1974,2019-10-06,63.8,49.0,3126.2,"tusze barwne pióro, akwarela",papier,1974
Teresa Pągowska,zarchiwizowany,130000,0,BEZ TYTUŁU, OK. 1988,2019-10-06,159.0,140.0,22260.0,"tempera, akryl",płótno,1988
Jan Lebenstein,dostępny w Galerii,90000,0,PORWANIE EUROPY, 1982,2019-10-06,81.0,165.0,13365.0,"gwasz, tusz, pastel",papier naklejony na płótno,1982
Zdzisław Beksiński,zarchiwizowany,80000,126000,BEZ TYTUŁU, 1963,2019-10-06,57.0,40.0,2280.0,gips patynowany na czarno,płyta,1963
Ryszard Zając,zarchiwizowany,7000,0,ARCHITEKTURA – FRONTON KOŚCIOŁA, 1966,2019-10-06,80.5,91.0,7325.5,olej,płótno,1966
Józef Czapski,zarchiwizowany,38000,38000,PIECYK, OK. 1958,2019-10-06,41.0,27.0,1107.0,olej,płótno,1958
Marek Oberländer,zarchiwizowany,8000,0,SYLWETKA, 1965,2019-10-06,100.0,50.0,5000.0,olej,płótno,1965
Jan Szancenbach,zarchiwizowany,10000,10000,RYBY, 1975,2019-10-06,78.8,86.0,6776.8,olej,płótno,1975
Kazimierz Mikulski,zarchiwizowany,70000,91000,PEJZAŻ PROWINCJONALNY, 1964,2019-10-06,70.0,50.0,3500.0,olej,płótno,1964
Kazimierz Mikulski,zarchiwizowany,5000,7500,AKTY ZE ŚLIMAKIEM, 1977,2019-10-06,22.3,16.0,356.8,tusz,papier kremowy,1977
Wanda Gołkowska-Chwałczyk,zarchiwizowany,8000,20000,STYCZEŃ 89 A – CYKL „CZERWIENI“, 1989,2019-10-06,60.0,60.5,3630.0,akryl,płótno,1989
Wanda Gołkowska-Chwałczyk,zarchiwizowany,8000,15000,LUTY 1 – CYKL „CZERWIENI“, 1989,2019-10-06,60.0,60.3,3618.0,akryl,płótno,1989
Jan Chwałczyk,zarchiwizowany,4000,11000,XA, 1990,2019-10-06,65.0,65.0,4225.0,akryl,płótno,1990
Tadeusz Dominik,zarchiwizowany,26000,28000,PEJZAŻ, OK. 2000,2019-10-06,110.0,110.0,12100.0,olej,płótno,2000
Wojciech Fangor,zarchiwizowany,23000,23000,PEJZAŻ POLSKI, 1974-2006,2019-10-06,70.0,100.0,7000.0,"akryl, collage",papier fotograficzny,1974
Zdzisław Beksiński,zarchiwizowany,100000,210000,DZ, LATA 80. XX W.,2019-10-06,73.0,87.2,6365.6,olej,płyta pilśniowa,80
Erna Rosenstein,zarchiwizowany,10000,0,KOMPOZYCJA ULOTNA, 1988,2019-10-06,16.0,19.8,316.8,"olej, płótno",sklejka,1988
Włodzimierz Pawlak,zarchiwizowany,12000,13000,DZIENNIK 18 VIII – 22 VIII, 2013,2019-10-06,40.0,50.5,2020.0,"olej, ołówek",płótno,2013
Zdzisław Beksiński,zarchiwizowany,90000,134000,BEZ TYTUŁU, 1982,2019-10-06,61.0,73.0,4453.0,olej,płyta pilśniowa,1982
Jerzy Nowosielski,zarchiwizowany,8000,16000,SZKIC POLICHROMII CERKWI, OK. 1992,2019-10-06,39.6,49.6,1964.16,"tempera, ołówek",tektura,1992
Tadeusz Kantor,zarchiwizowany,5000,6000,LUDZIE WYJEDZENI PRZEZ PIASEK, 1967,2019-10-06,16.5,26.0,429.0,"tusz, pastel, gwasz",papier naklejony na tekturę,1967
Jerzy Nowosielski,zarchiwizowany,14000,21000,SZKIC POLICHROMII CERKWI , OK. 1992,2019-10-06,49.6,39.6,1964.16,"tempera, ołówek",tektura,1992
Henryk Stażewski,zarchiwizowany,25000,0,RELIEF NR 58, 1979,2019-10-06,30.0,30.0,900.0,"akryl, płyta pilśniowa, drewno",oprawione,1979
Jan Tarasin,zarchiwizowany,100000,102000,STÓŁ GIER IV, 1997,2019-10-06,100.0,130.0,13000.0,olej,płótno,1997
Stanisław Baj,zarchiwizowany,7000,10000,RZEKA BUG, OK. 2014,2019-10-06,50.5,100.0,5050.0,olej,płótno,2014
Stasys Eidrigevičius,zarchiwizowany,6000,8000,GŁOWA, LATA 90. XX W.,2019-10-06,63.5,48.2,3060.7000000000003,pastel,papier,90
Norman Leto,zarchiwizowany,6000,10000,RODZAJ NASTROJU, 2017,2019-10-06,80.0,120.0,9600.0,olej,płótno,2017
Jan Lebenstein,zarchiwizowany,50000,0,CAVALIER POLONAIS (JEŹDZIEC POLSKI), 1990,2019-10-06,73.0,116.0,8468.0,olej,płótno,1990
Jan Berdyszak,zarchiwizowany,28000,0,WOKÓŁ OBRAZU IV, 1983-1989,2019-10-06,60.0,124.0,7440.0,"akryl, płótno naklejone na deskę",wycięcie,1983
 The Krasnals ,zarchiwizowany,5000,5000,PORTRET FRANZA KAFKI, 2015,2019-10-06,40.5,30.0,1215.0,olej,płótno,2015
Igor Mitoraj,zarchiwizowany,28000,33000,SPLECIONE DŁONIE,,2019-10-06,136.5,17.5,2388.75,brąz,kamień,
Kiejstut Bereźnicki,dostępny w Galerii,20000,0,KUCHNIA DUŻA II, 2006-2008,2019-10-06,120.0,150.0,18000.0,olej,płótno,2006
Leon Tarasewicz,zarchiwizowany,22000,0,BEZ TYTUŁU, 2019,2019-10-06,50.0,50.0,2500.0,akryl,płótno,2019
Jan Tarasin,zarchiwizowany,59000,0,SYTUACJA XXI, 1981,2019-10-06,46.0,92.2,4241.2,olej,płótno,1981
Aleksander Kobzdej,zarchiwizowany,6000,0,BEZ TYTUŁU, 1961,2019-10-06,35.0,25.0,875.0,olej,płótno,1961
Stanisław Fijałkowski,zarchiwizowany,90000,0,ZUPEŁNIE NOWA AUTOSTRADA X, 2008,2019-10-06,100.5,100.0,10050.0,akryl,płótno,2008
